,site2,site3,site6,site8,site9,site10,site11,site12
75,0.4324324324324324,0.6205006544502618,0.6232704402515723,0.6606968095517713,0.9642651296829972,0.8749330117899249,0.8855116514690984,0.98
76,0.6041666666666666,0.5995151564537159,0.6578616352201259,0.7572605965463108,0.9125622216400314,0.8738906752411575,0.9600257898130238,0.96
77,0.5067567567567568,0.6736202365308805,0.7279503105590062,0.6920148379539243,0.8804034582132565,0.834702870072645,0.975571315996848,1.0
78,0.9246575342465754,0.6472245065789474,0.5896341463414634,0.6724407907614015,0.9720985066806392,0.9032690246516611,0.955190199871051,0.99
79,0.75,0.54906906167979,0.6375796178343949,0.5860759493670886,0.8814841498559077,0.8626863490207541,0.9680851063829788,0.9866666666666666
80,0.8356164383561644,0.7222854356306893,0.7279503105590063,0.5471079308288611,0.9607348703170028,0.8739624616765124,0.7335992907801419,0.8733333333333333
81,0.6644736842105263,0.6963610197368421,0.7018867924528303,0.5713729308666018,0.7918667947486391,0.821174973204716,0.8953900709219857,0.98
82,0.6283783783783784,0.6436060855263158,0.52,0.5604118104118104,0.8720781300032021,0.9111642862484112,0.951142631993696,0.99
83,0.8287671232876713,0.5709669502617801,0.55527950310559,0.6666012558869701,0.9023603677782353,0.8973455565437505,0.9597034171502256,0.97
84,0.6232876712328768,0.6605652814136126,0.6932515337423313,0.5659763313609468,0.9640730067243036,0.9033762057877812,0.7832939322301025,0.98
85,0.4391891891891892,0.5859990157480315,0.7006369426751593,0.6108312342569269,0.8862632084534101,0.8477903237867345,0.8357883251500273,1.0
86,0.7256944444444444,0.691794829842932,0.7333333333333334,0.5657254138266797,0.93575182234277,0.8417379029095757,0.942080378250591,0.98
87,0.4333333333333333,0.6625734334203655,0.6779874213836479,0.5611439842209073,0.9538904899135446,0.9172586554998878,0.8748733535967579,1.0
88,0.7054794520547946,0.6358580508474576,0.4559748427672956,0.581054495376746,0.8943323727185398,0.8643161594257085,0.9780141843971633,1.0
89,0.76,0.712732539164491,0.620253164556962,0.6429274050757428,0.9000617538081516,0.8935252850043847,0.8588652482269503,0.98
90,0.7960526315789473,0.616603866317169,0.5708860759493671,0.6626541397533765,0.8741964087785413,0.8652918624783577,0.8676122931442081,1.0
91,0.4802631578947368,0.7281372709424084,0.7582822085889571,0.494335122242099,0.8263208453410182,0.845833915839508,0.774113475177305,1.0
92,0.631578947368421,0.6926741130091985,0.5632911392405063,0.5815968841285298,0.9263612922796906,0.8720117433244793,0.9152876280535855,1.0
93,0.75,0.6641035104986877,0.3225,0.626708317063647,0.8823487031700288,0.8395078987837271,0.978401031592521,0.06
94,0.8918918918918919,0.6749959203655352,0.55875,0.5475345167652861,0.9715017611271212,0.8958905183907144,0.9726950354609928,1.0
95,0.7933333333333334,0.6316964285714286,0.4149068322981366,0.6232539838677946,0.845821325648415,0.8683928470694421,0.8125295508274232,0.97
96,0.5273972602739727,0.5665085078534031,0.5257861635220126,0.4931667317454119,0.9579361560629572,0.8723746322774851,0.8754432624113475,0.04
97,0.6388888888888888,0.5536702473958333,0.682716049382716,0.7330491673275178,0.9309874108903382,0.9114267000119092,0.9780141843971633,1.0
98,0.8918918918918919,0.6375122870249017,0.49625,0.6303581914268938,0.8369482784771726,0.8617363344051447,0.943853427895981,1.0
99,0.6301369863013699,0.6758887614678899,0.631055900621118,0.6941671559992171,0.8999696647959958,0.8822837424515723,0.8986406619385343,0.98
100,0.5555555555555556,0.595542698826597,0.6236024844720497,0.7220907297830373,0.819236311239193,0.8599797546742884,0.9655061250805932,0.9866666666666666
101,0.5616438356164384,0.6903980220492867,0.559748427672956,0.620353806400318,0.9411438705386832,0.8378321204941614,0.7017730496453901,1.0
102,0.8866666666666666,0.6107026143790849,0.4993630573248407,0.5330788804071247,0.7495828909449416,0.8571001271218127,0.9341438703140832,0.9666666666666666
