,site2,site3,site6,site8,site9,site10,site11,site12
61,0.7152777777777778,0.7251554099462366,0.6217948717948718,0.7665051483949121,0.7984309958373359,0.6981145863782521,0.8141843971631205,0.3
62,0.4166666666666667,0.7391423051075269,0.5410256410256411,0.7125984251968505,0.6311239193083574,0.7612540192926045,0.8382978723404255,0.52
63,0.5902777777777778,0.7946488575268816,0.6653846153846154,0.755804562891177,0.8226064681396094,0.7331920491084478,0.7531914893617021,0.98
64,0.4236111111111111,0.767431115591398,0.7576923076923077,0.8213204118715929,0.6743515850144092,0.6338789827535809,0.7560283687943262,0.96
65,0.3611111111111111,0.7801579301075269,0.4942307692307692,0.7621643448415102,0.8306115914185078,0.8224934229757382,0.6950354609929078,1.0
66,0.7430555555555556,0.7581065188172043,0.8628205128205129,0.7628709872804361,0.8056356067883447,0.7932622040339082,0.5049645390070923,0.66
67,0.4722222222222222,0.7804729502688171,0.5846153846153845,0.6879668887542902,0.7875440281780339,0.7895352236188249,0.7645390070921986,0.06
68,0.625,0.7285576276881719,0.785897435897436,0.6618211185140319,0.7172590457893052,0.7416691026015785,0.7574468085106383,0.66
69,0.5763888888888888,0.6587491599462365,0.8012820512820512,0.7711487987078538,0.8123599103426193,0.8086085939783689,0.7801418439716312,0.96
70,0.6319444444444444,0.8119329637096775,0.4884615384615385,0.7231980617807389,0.6253602305475504,0.7836159017831044,0.7134751773049646,0.68
71,0.5902777777777778,0.7784988239247312,0.7564102564102564,0.6965475469412477,0.8003522254242715,0.7814235603624672,0.676595744680851,0.96
72,0.638888888888889,0.7464717741935484,0.8,0.7656975570361397,0.6324047390329811,0.7813504823151125,0.5560283687943263,0.94
73,0.5972222222222222,0.7772177419354839,0.6846153846153846,0.7928528164748637,0.691802753762408,0.764615609470915,0.8368794326241135,0.98
74,0.3819444444444445,0.7123025873655916,0.7115384615384616,0.7298606904906118,0.6625040025616394,0.8002776965799474,0.900709219858156,0.88
75,0.6736111111111112,0.8252268145161289,0.6711538461538461,0.735513830002019,0.771693884085815,0.772508038585209,0.5361702127659574,1.0
76,0.2083333333333333,0.6515667002688172,0.773076923076923,0.7213809812235008,0.5978226064681397,0.7239842151417715,0.475177304964539,0.84
77,0.4791666666666666,0.816448252688172,0.8717948717948718,0.8078942055320009,0.6330451488952931,0.7027915814089447,0.5035460992907801,0.98
78,0.9027777777777778,0.7623487903225806,0.6846153846153846,0.668180900464365,0.6945244956772334,0.8151856182402807,0.724822695035461,0.84
79,0.3680555555555556,0.7423555107526881,0.6448717948717948,0.7142136079143954,0.5981428113992956,0.7904121601870797,0.6978723404255319,0.88
80,0.5208333333333334,0.7273185483870968,0.8448717948717948,0.7705431051887744,0.5664425232148574,0.7651271558023969,0.5234042553191489,0.96
81,0.2430555555555555,0.7836231518817205,0.7038461538461538,0.6945285685443165,0.6304835094460455,0.6929991230634318,0.6680851063829787,0.98
82,0.4861111111111111,0.719548051075269,0.7628205128205128,0.7098728043609934,0.8370156900416267,0.7658579362759427,0.7007092198581559,1.0
83,0.4652777777777778,0.7338709677419355,0.3961538461538462,0.7078538259640622,0.67034902337496,0.7506577024261911,0.7148936170212766,0.88
84,0.5,0.7633778561827957,0.7423076923076923,0.815364425600646,0.670509125840538,0.7263957907044724,0.8468085106382979,0.74
85,0.7638888888888888,0.7058131720430109,0.5794871794871795,0.7142136079143953,0.8030739673390971,0.766661794796843,0.6524822695035462,0.48
86,0.5208333333333333,0.7999411962365592,0.8602564102564103,0.7090652130022209,0.7355107268651937,0.6831335866705642,0.8666666666666666,0.94
87,0.6319444444444444,0.7430905577956989,0.7512820512820513,0.7015949929335755,0.7947486391290426,0.7182841274481145,0.5375886524822695,0.5
88,0.7361111111111112,0.7484248991935484,0.5076923076923077,0.7141126589945488,0.7681716298430995,0.7862467114878691,0.6297872340425532,0.82
89,0.6944444444444444,0.7843792002688172,0.6000000000000001,0.7010902483343429,0.8242074927953891,0.810143232972815,0.5886524822695035,0.66
90,0.4444444444444444,0.7641339045698925,0.6461538461538461,0.8076923076923077,0.670188920909382,0.7820812627886582,0.5546099290780142,1.0
91,0.6041666666666666,0.7287256384408602,0.7807692307692308,0.6052897233999596,0.8032340698046749,0.6229172756503947,0.624113475177305,0.98
92,0.4583333333333333,0.7777637768817205,0.5897435897435898,0.6597011911972541,0.670188920909382,0.7506577024261912,0.8836879432624114,1.0
93,0.4791666666666667,0.8191784274193549,0.5525641025641026,0.7801332525741974,0.6714697406340057,0.7083455130078924,0.6851063829787234,0.66
94,0.701388888888889,0.7868993615591399,0.7141025641025641,0.6796890773268726,0.7851424911943644,0.7753580824320374,0.5957446808510638,0.96
95,0.5833333333333334,0.8249747983870969,0.464102564102564,0.7036139713305066,0.6205571565802113,0.7393306050862322,0.8468085106382979,1.0
96,0.4236111111111111,0.7219632056451614,0.8115384615384615,0.6336563698768423,0.6637848222862632,0.783323589593686,0.5205673758865248,0.82
97,0.5,0.7729544690860215,0.6153846153846154,0.7046234605289724,0.6573807236631444,0.7679041216018708,0.6397163120567375,0.96
98,0.8611111111111112,0.7551663306451614,0.6884615384615385,0.570765192812437,0.7460774895933397,0.8310435545162232,0.5531914893617021,0.44
99,0.5069444444444444,0.7684601814516129,0.4935897435897435,0.7458106198263679,0.7856227985910983,0.7472961122478807,0.8978723404255319,0.54
100,0.5486111111111112,0.695249495967742,0.8025641025641026,0.7337976983646274,0.6868395773294909,0.7384536685179772,0.7560283687943262,0.98
101,0.2777777777777778,0.7996681787634409,0.6743589743589743,0.7100747022006865,0.813640730067243,0.7538731365097924,0.5134751773049645,0.92
102,0.5902777777777778,0.7752856182795699,0.7346153846153846,0.5831819099535634,0.851104707012488,0.724568839520608,0.8354609929078014,0.68
